Species,Light_ISF,Soil,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Time,Event,Harvest,Alive
2,0.082,1,0,2,1,1,1,22.0,0.0,2.65,26.05,11.46,24.5,1,1,2
1,0.087,1,0,0,1,1,1,12.0,28.57,5.34,20.74,19.02,24.5,1,1,2
0,0.082,2,0,0,0,0,0,19.14,0.0,-0.09,13.75,12.02,24.5,0,0,0
0,0.087,5,0,2,0,0,0,16.0,0.0,0.61,13.34,12.58,24.5,1,1,2
3,0.078,4,1,1,0,2,0,2.0,0.0,0.17,9.97,14.83,24.5,1,1,2
2,0.078,0,0,0,1,0,1,31.0,60.0,2.46,27.08,9.94,24.5,1,1,2
1,0.097,0,0,0,1,0,1,15.71,38.68,4.24,19.0,23.37,115.5,1,0,1
1,0.097,3,0,0,1,1,1,27.93,32.53,4.97,19.41,20.57,115.5,1,0,1
0,0.079,6,0,0,0,1,0,14.89,0.0,-0.03,14.04,12.55,24.5,0,0,0
2,0.097,4,1,1,1,2,1,8.78,6.92,3.5,24.34,15.47,73.5,0,0,0
2,0.097,2,0,0,1,0,1,22.17,25.79,3.55,26.7,14.45,115.5,1,0,1
0,0.083,6,0,0,0,1,0,14.7,0.0,-0.03,13.97,12.54,59.5,0,0,0
0,0.079,4,1,1,0,2,1,12.0,0.0,-0.05,11.92,11.73,24.5,1,1,2
3,0.083,2,0,0,0,0,0,29.89,0.0,0.37,9.21,11.48,63.0,0,0,0
1,0.079,5,0,0,1,0,1,0.0,14.29,4.97,25.04,15.64,24.5,1,1,2
1,0.079,6,0,2,1,1,1,26.0,60.0,4.92,23.34,16.81,24.5,1,1,2
2,0.097,1,0,2,1,1,1,21.42,42.66,3.67,26.32,14.7,115.5,1,0,1
1,0.083,1,0,0,1,1,1,22.69,39.08,5.07,20.06,20.32,115.5,1,0,1
1,0.083,6,0,2,1,1,1,11.48,37.96,5.02,23.06,16.79,80.5,0,0,0
2,0.097,3,0,0,1,1,1,18.91,30.64,3.76,20.89,17.96,115.5,1,0,1
2,0.097,5,0,0,1,0,1,28.86,42.33,3.82,26.8,14.74,66.5,0,0,0
1,0.083,3,0,0,1,1,1,18.38,21.88,4.88,18.46,22.01,115.5,1,0,1
3,0.083,2,0,0,0,0,0,29.89,0.0,0.37,9.21,11.48,59.5,0,0,0
3,0.078,2,0,0,0,0,0,31.87,0.0,0.35,7.92,11.1,24.5,0,0,0
1,0.079,5,0,0,1,0,1,18.0,0.0,3.5,24.44,12.56,24.5,1,1,2
0,0.079,4,1,1,0,2,1,7.0,0.0,-0.18,13.3,12.34,24.5,1,1,2
3,0.083,2,0,0,0,0,0,29.89,0.0,0.37,9.21,11.48,59.5,0,0,0
1,0.097,3,0,0,1,1,1,27.93,32.53,4.97,19.41,20.57,115.5,1,0,1
3,0.078,0,0,2,0,0,0,34.76,0.0,0.46,8.54,11.6,24.5,0,0,0
0,0.078,3,0,0,0,1,0,15.86,0.0,-0.2,13.81,11.98,24.5,0,0,0
1,0.083,4,1,1,1,2,1,1.11,1.24,2.98,18.78,19.02,115.5,1,0,1
1,0.079,2,0,0,1,0,1,5.0,10.53,4.44,13.63,22.3,24.5,1,1,2
1,0.097,1,0,0,1,1,1,15.66,36.41,5.23,21.28,18.19,70.0,0,0,0
0,0.079,4,1,1,0,2,1,5.0,0.0,-0.1,9.4,9.46,24.5,1,1,2
0,0.078,5,0,2,0,0,0,20.04,0.0,0.26,14.45,11.93,24.5,0,0,0
3,0.079,2,0,0,0,0,0,35.48,0.0,0.4,7.81,11.26,24.5,0,0,0
0,0.079,3,0,0,0,1,0,15.54,0.0,-0.19,13.75,11.94,24.5,0,0,0
3,0.079,6,0,0,0,1,0,25.54,0.0,0.66,9.22,11.87,24.5,0,0,0
1,0.079,2,0,0,1,0,1,13.0,27.87,3.49,26.57,8.32,24.5,1,1,2
1,0.079,5,0,0,1,0,1,21.0,0.0,4.97,18.29,22.22,24.5,1,1,2
0,0.078,0,0,0,0,0,0,22.59,0.0,-0.72,14.06,12.18,24.5,0,0,0
2,0.097,2,0,0,1,0,1,22.17,25.79,3.55,26.7,14.45,115.5,1,0,1
